State,County,Obesity,Min Wage,Life expectancy 2010,Percent Smokers,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Unemployment_rate_2010
Kansas,Marion County,31.1,7.25,74.62,27.6,1712,10774,12486,13.6
Kentucky,Marion County,33.8,7.25,74.62,27.6,1712,10774,12486,13.6
Mississippi,Marion County,37.1,7.25,74.62,27.6,1712,10774,12486,13.6
Missouri,Marion County,28.3,7.35,74.62,27.6,1712,10774,12486,13.6
Ohio,Marion County,32.2,7.85,74.62,27.6,1712,10774,12486,13.6
Oregon,Marion County,31.3,8.95,74.62,27.6,1712,10774,12486,13.6
South Carolina,Marion County,38.8,7.25,74.62,27.6,1712,10774,12486,13.6
Tennessee,Marion County,29.9,7.25,74.62,27.6,1712,10774,12486,13.6
Texas,Marion County,31.7,7.25,74.62,27.6,1712,10774,12486,13.6
West Virginia,Marion County,33.8,7.25,74.62,27.6,1712,10774,12486,13.6
Alabama,Marshall County,31.5,7.25,74.57,28.4,3134,24854,27988,9.6
Illinois,Marshall County,29.8,7.25,74.57,28.4,3134,24854,27988,9.6
Indiana,Marshall County,31.4,7.25,74.57,28.4,3134,24854,27988,9.6
Iowa,Marshall County,32,7.25,74.57,28.4,3134,24854,27988,9.6
Kansas,Marshall County,33,7.25,74.57,28.4,3134,24854,27988,9.6
Kentucky,Marshall County,34.2,7.25,74.57,28.4,3134,24854,27988,9.6
Minnesota,Marshall County,26.9,7.25,74.57,28.4,3134,24854,27988,9.6
Mississippi,Marshall County,38.6,7.25,74.57,28.4,3134,24854,27988,9.6
Oklahoma,Marshall County,33.9,7.25,74.57,28.4,3134,24854,27988,9.6
South Dakota,Marshall County,28.9,7.25,74.57,28.4,3134,24854,27988,9.6
Tennessee,Marshall County,29.9,7.25,74.57,28.4,3134,24854,27988,9.6
West Virginia,Marshall County,31.7,7.25,74.57,28.4,3134,24854,27988,9.6
Alabama,Mobile County,33.9,7.25,74.95,26.7,24388,153808,178196,11.3
Alabama,Monroe County,35.9,7.25,74.9,25.9,1497,9215,10712,18.1
Arkansas,Monroe County,35.1,7.25,74.9,25.9,1497,9215,10712,18.1
Florida,Monroe County,18.9,7.79,74.9,25.9,1497,9215,10712,18.1
Georgia,Monroe County,32.6,7.25,74.9,25.9,1497,9215,10712,18.1
Illinois,Monroe County,29.3,7.25,74.9,25.9,1497,9215,10712,18.1
Indiana,Monroe County,25.3,7.25,74.9,25.9,1497,9215,10712,18.1
Iowa,Monroe County,33.8,7.25,74.9,25.9,1497,9215,10712,18.1
Kentucky,Monroe County,35.8,7.25,74.9,25.9,1497,9215,10712,18.1
Michigan,Monroe County,33.4,7.25,74.9,25.9,1497,9215,10712,18.1
Mississippi,Monroe County,34.4,7.25,74.9,25.9,1497,9215,10712,18.1
Missouri,Monroe County,32.1,7.35,74.9,25.9,1497,9215,10712,18.1
New York,Monroe County,30.2,7.25,74.9,25.9,1497,9215,10712,18.1
Ohio,Monroe County,32,7.85,74.9,25.9,1497,9215,10712,18.1
Pennsylvania,Monroe County,28.2,7.25,74.9,25.9,1497,9215,10712,18.1
Tennessee,Monroe County,35.4,7.25,74.9,25.9,1497,9215,10712,18.1
West Virginia,Monroe County,31.1,7.25,74.9,25.9,1497,9215,10712,18.1
Wisconsin,Monroe County,28.9,7.25,74.9,25.9,1497,9215,10712,18.1
Alabama,Montgomery County,35.3,7.25,75.93,22.7,16819,79080,95899,10.0
Arkansas,Montgomery County,29.6,7.25,75.93,22.7,16819,79080,95899,10.0
Georgia,Montgomery County,32.7,7.25,75.93,22.7,16819,79080,95899,10.0
Illinois,Montgomery County,24.9,7.25,75.93,22.7,16819,79080,95899,10.0
Indiana,Montgomery County,31.2,7.25,75.93,22.7,16819,79080,95899,10.0
Iowa,Montgomery County,32.2,7.25,75.93,22.7,16819,79080,95899,10.0
Kansas,Montgomery County,33.8,7.25,75.93,22.7,16819,79080,95899,10.0
Kentucky,Montgomery County,32.9,7.25,75.93,22.7,16819,79080,95899,10.0
